User Stories,Task,Dependency,Story Points,day 1,day 2,day 3,day 4,day 5,day 6,day 7
"Note: plan has changed. In addition, the reason that there are unallocated to some individuals at some times is because some individuals were unavailable to work due to busy school schedules or other",,,,,,,,,,
1,1,,3,Sai:3,,,,,,
1,3,,4,Ishan:3,Ishan: 1,,,,,
1,4,,2,Ricky:2,,,,,,
1,5,,5,,Sai: 3,Sai: 2,,,,
2,6,,1,,Ishan: 1,,,,,
2,7,,2,,,Ishan: 2,,,,
3,8,,3,,,,,,Eric:3,
3,9,Task 7,3,,,,,,,Joe:3
4,10,,3,,,,,,,
4,11,,3,,,,,,,
4,12,,3,,,,,,,
5,13,,3,,,,,,,
5,14,,3,,,,,,,
6,15,User Story 3,5,,,,,,,
6,16,User Story 3,5,,,,,,,
7,17,,5,,,,,,,
7,18,,2,,,,,,,
8,19,,2,,,,,,,
8,20,,2,,,,,,,
